F88A5EA2AFB0
9756
40
0,	0,	9820
1,	20,	9820
2,	31,	9867
3,	40,	9750
4,	50,	10044
5,	80,	10056
6,	100,	10073
7,	125,	10063
8,	160,	10124
9,	200,	10156
10,	250,	10098
11,	315,	10545
12,	350,	10750
13,	380,	11172
14,	390,	11468
15,	400,	11646
16,	410,	11005
17,	420,	9764
18,	430,	9334
19,	440,	9309
20,	450,	9439
21,	470,	9623
22,	490,	9854
23,	501,	9936
24,	511,	10012
25,	520,	10084
26,	530,	10141
27,	540,	10214
28,	560,	10264
29,	570,	10285
30,	580,	10285
31,	590,	10179
32,	600,	9962
33,	610,	9801
34,	620,	11246
35,	630,	10894
36,	700,	10797
37,	800,	11058
38,	900,	11434
39,	1700,	12610






2
0,	0,	10000
1,	1700,	10000
1,	1000,	12521
1,	1000,	12610
1,	900,	11434
1,	800,	11058
1,	700,	10797
1,	630,	10895
1,	620,	11247
1,	610,	9798
1,	610,	9801
1,	600,	9962
1,	590,	10179
1,	580,	10285
1,	570,	10285
1,	560,	10264
1,	540,	10214
1,	530,	10140
1,	530,	10141
1,	520,	10084
1,	511,	10012
1,	501,	9936
1,	490,	9854
1,	470,	9623
1,	450,	9439
1,	440,	9309
1,	430,	9352
1,	430,	9387
1,	430,	9334
1,	420,	9769
1,	420,	9764
1,	410,	11052
1,	410,	11041
1,	410,	11033
1,	410,	11005
1,	400,	11646
1,	390,	11468
1,	380,	11172
1,	350,	10751
1,	315,	10545
1,	250,	10098
1,	200,	10156
1,	160,	10124
1,	125,	10063
1,	100,	10073
1,	80,	10056
1,	50,	10044
1,	40,	8993
1,	40,	9750
1,	31,	9867
1,	25,	9977
1,	25,	10017




2
0,	0,	10000
1,	1700,	10000
1,	1000,	12521
1,	1000,	12610
1,	900,	11434
1,	800,	11058
1,	700,	10797
1,	630,	10895
1,	620,	11247
1,	610,	9798
1,	610,	9801
1,	600,	9962
1,	590,	10179
1,	580,	10285
1,	570,	10285
1,	560,	10264
1,	540,	10214
1,	530,	10140
1,	530,	10141
1,	520,	10084
1,	511,	10012
1,	501,	9936
1,	490,	9854
1,	470,	9623
1,	450,	9439
1,	440,	9309
1,	430,	9352
1,	430,	9387
1,	430,	9334
1,	420,	9769
1,	420,	9764
1,	410,	11052
1,	410,	11041
1,	410,	11033
1,	410,	11005
1,	400,	11646
1,	390,	11468
1,	380,	11172
1,	350,	10751
1,	315,	10545
1,	250,	10098
1,	200,	10156
1,	160,	10124
1,	125,	10063
1,	100,	10073
1,	80,	10056
1,	50,	10044
1,	40,	8993
1,	40,	9750
1,	31,	9867
1,	25,	9977
1,	25,	10017
