F88A5EA2A9A3
10154
36
0,	0,	10000
1,	12,	9982
2,	20,	9697
3,	63,	9973
4,	80,	9963
5,	160,	10023
6,	200,	10091
7,	250,	10269
8,	315,	10434
9,	350,	10583
10,	380,	10860
11,	390,	11035
12,	400,	11325
13,	410,	11562
14,	420,	10159
15,	430,	9646
16,	450,	9738
17,	471,	9905
18,	491,	10113
19,	501,	10183
20,	511,	10246
21,	521,	10310
22,	531,	10380
23,	541,	10439
24,	561,	10476
25,	571,	10517
26,	591,	10413
27,	601,	9974
28,	611,	9719
29,	621,	11586
30,	631,	11259
31,	701,	11114
32,	802,	11422
33,	902,	11712
34,	1002,	12259
35,	1700,	10000









2
0,	0,	10000
1,	1700,	10000
1,	80,	9963
1,	10,	9722
1,	12,	9982
2,	20,	9697
3,	63,	11642
3,	63,	9973
5,	160,	10023
6,	200,	10091
7,	250,	10270
8,	315,	10434
9,	350,	10583
10,	380,	10860
11,	390,	11035
12,	400,	12013
12,	400,	11326
13,	410,	11562
14,	420,	10159
15,	430,	9646
16,	450,	9738
17,	471,	9905
18,	491,	10113
19,	501,	10183
20,	511,	10246
21,	521,	10310
22,	531,	10380
23,	541,	10439
24,	561,	10476
25,	571,	10517
26,	591,	10413
27,	601,	9974
28,	611,	9719
29,	621,	11586
30,	631,	11259
31,	701,	11114
32,	802,	11422
33,	902,	11712
34,	1002,	12259
